Label,Vulnerability Name,Package Name,Package Version,Type,Publish Date
C,Prototype Pollution,gedi,*,npm,"0,Sep,2020"
H,Prototype Pollution,worksmith,*,npm,"0,Sep,2020"
H,Prototype Pollution,tiny-conf,*,npm,"0,Sep,2020"
H,Prototype Pollution,promisehelpers,*,npm,"0,Sep,2020"
H,Prototype Pollution,nodee-utils,&lt;1.2.3,npm,"0,Sep,2020"
C,Prototype Pollution,node-oojs,*,npm,"0,Sep,2020"
H,Prototype Pollution,dot-notes,*,npm,"0,Sep,2020"
H,Prototype Pollution,deeps,*,npm,"0,Sep,2020"
H,Prototype Pollution,deep-get-set,*,npm,"0,Sep,2020"
H,Prototype Pollution,confucious,*,npm,"0,Sep,2020"
H,Prototype Pollution,node-forge,&lt;0.10.0,npm,"0,Sep,2020"
C,Prototype Pollution,locutus,&lt;2.0.12,npm,"0,Sep,2020"
H,Prototype Pollution,gammautils,*,npm,"0,Sep,2020"
H,Prototype Pollution,arr-flatten-unflatten,*,npm,"0,Sep,2020"
H,Prototype Pollution,org.webjars.npm:node-forge,"[0,]",Maven,"0,Sep,2020"
H,Infinite Loop,github.com/ulikunitz/xz,&lt;0.5.8,Go,"0,Sep,2020"
H,Directory Traversal,flask-cors,"[,3.0.9)",pip,"3,Aug,2020"
H,Directory Traversal,hangersteak,&lt;0.2.5,npm,"3,Aug,2020"
M,Information Exposure,github.com/pingcap/tidb/session,&lt;4.0.6,Go,"3,Aug,2020"
H,Cross-site Scripting (XSS),baserproject/basercms,"&gt;&#x3D;4.0.0, &lt;4.3.7",Composer,"3,Aug,2020"
M,Arbitrary File Read,github.com/grafana/grafana/pkg/tsdb/mysql,&lt;6.4.4,Go,"3,Aug,2020"
H,Cross-site Scripting (XSS),baserproject/basercms,"&gt;&#x3D;4.0.0, &lt;4.3.7",Composer,"3,Aug,2020"
H,XML External Entity (XXE) Injection,net.sf.mpxj:mpxj,"[,8.1.4)",Maven,"3,Aug,2020"
H,Command Injection,json,&lt;10.0.0,npm,"3,Aug,2020"
H,Command Injection,org.webjars.npm:json,"[0,]",Maven,"3,Aug,2020"
M,Buffer Overflow,org.web3j:rlp,"[0, 4.6.3)",Maven,"3,Aug,2020"
L,Cryptographic Issues,github.com/robotsandpencils/go-saml,*,Go,"3,Aug,2020"
,,,,,
M,Server-side Request Forgery (SSRF),github.com/gophish/gophish/controllers,&lt;0.6.0,Go,"1,Aug,2020"
H,Improper Input Validation,laravel/framework,"&lt;6.18.34,&gt;&#x3D;7.0.0, &lt;7.23.2",Composer,"0,Aug,2020"
H,Improper Input Validation,illuminate/database,"&lt;6.18.34,&gt;&#x3D;7.0.0, &lt;7.23.2",Composer,"0,Aug,2020"
M,Cryptographic Issues,ipaddress,"[0,]",pip,"0,Aug,2020"
H,Directory Traversal,tftpy,"[,0.8.1)",pip,"0,Aug,2020"
M,Information Exposure,ansible,"[,2.8.14),[2.9.0,2.9.12)",pip,"0,Aug,2020"
M,Remote Code Execution (RCE),github.com/thoughtworks/talisman,&lt;1.4.0,Go,"0,Aug,2020"
H,Cross-site Scripting (XSS),prismjs,&gt;&#x3D;1.1.0 &lt;1.21.0,npm,"0,Aug,2020"
H,Cross-site Scripting (XSS),org.webjars:prismjs,"[1.1.0,1.21.0)",Maven,"0,Aug,2020"
H,Cross-site Scripting (XSS),org.webjars.npm:prismjs,"[1.1.0,1.21.0)",Maven,"0,Aug,2020"
H,Cross-site Scripting (XSS),prismjs/prism,&lt;1.21.0,Composer,"0,Aug,2020"
H,Regular Expression Denial of Service (ReDoS),wappalyzer,&lt;6.0.6,npm,"0,Aug,2020"
H,Denial of Service (DoS),github.com/oragono/oragono/irc,&lt;2.3.0,Go,"0,Aug,2020"
M,Denial of Service (DoS),github.com/projectcontour/contour/cmd/contour,&lt;1.7.0,Go,"0,Aug,2020"
M,Information Exposure,sulu/sulu,"&lt;1.6.35,&gt;&#x3D;2.0.0, &lt;2.0.10,&gt;&#x3D;2.1.0, &lt;2.1.1",Composer,"0,Aug,2020"
L,Improper Input Validation,go.etcd.io/etcd/v3/wal,&lt;3.4.10,Go,"0,Aug,2020"
M,Improper Input Validation,go.etcd.io/etcd/v3/wal,&lt;3.4.10,Go,"0,Aug,2020"
M,Insecure Permissions,go.etcd.io/etcd/v3/pkg/fileutil,&lt;3.4.10,Go,"0,Aug,2020"
M,Improper Input Validation,github.com/etcd-io/etcd/wal,&lt;3.4.10,Go,"0,Aug,2020"
L,Improper Input Validation,github.com/etcd-io/etcd/wal,&lt;3.4.10,Go,"0,Aug,2020"
M,Insecure Permissions,github.com/etcd-io/etcd/pkg/fileutil,&lt;3.4.10,Go,"0,Aug,2020"
H,Improper Authorization,phpmyadmin/phpmyadmin,"&gt;&#x3D;4.0.0, &lt;4.0.10.19,&gt;&#x3D;4.4.0, &lt;4.4.15.10,&gt;&#x3D;4.6.0, &lt;4.6.6",Composer,"0,Aug,2020"
H,Denial of Service (DoS),phpmyadmin/phpmyadmin,"&gt;&#x3D;4.0.0, &lt;4.0.10.19,&gt;&#x3D;4.4.0, &lt;4.4.15.10,&gt;&#x3D;4.6.0, &lt;4.6.6",Composer,"0,Aug,2020"
H,Denial of Service (DoS),phpmyadmin/phpmyadmin,"&gt;&#x3D;4.0.0, &lt;4.0.10.19,&gt;&#x3D;4.4.0, &lt;4.4.15.10,&gt;&#x3D;4.6.0, &lt;4.6.6",Composer,"0,Aug,2020"
M,Open Redirect,phpmyadmin/phpmyadmin,"&gt;&#x3D;4.0.0, &lt;4.0.10.19,&gt;&#x3D;4.4.0, &lt;4.4.15.10,&gt;&#x3D;4.6.0, &lt;4.6.6",Composer,"0,Aug,2020"
M,HTML Injection,phpmyadmin/phpmyadmin,"&gt;&#x3D;4.0.0, &lt;4.0.10.19,&gt;&#x3D;4.4.0, &lt;4.4.15.10,&gt;&#x3D;4.6.0, &lt;4.6.6",Composer,"0,Aug,2020"
H,CSS Injection,chartkick,&lt;3.4.0,RubyGems,"0,Aug,2020"
M,Cryptographic Issues,go.dedis.ch/kyber/v3,&lt;3.0.13,Go,"0,Aug,2020"
M,Cryptographic Issues,github.com/dedis/kyber,&lt;3.0.13,Go,"0,Aug,2020"
M,Cross-Site Request Forgery (CSRF),polaris-website,&lt;1.1.1,npm,"0,Aug,2020"
,,,,,
M,XML External Entity (XXE) Injection,org.openhab.addons.bundles:org.openhab.binding.homematic,"[,2.5.12),[3.0.0, 3.0.1)",Maven,"0,Feb,2021"
M,XML External Entity (XXE) Injection,org.openhab.addons.bundles:org.openhab.binding.gce,"[,2.5.12),[3.0.0, 3.0.1)",Maven,"0,Feb,2021"
M,XML External Entity (XXE) Injection,org.openhab.addons.bundles:org.openhab.binding.enigma2,"[,2.5.12),[3.0.0, 3.0.1)",Maven,"0,Feb,2021"
M,XML External Entity (XXE) Injection,org.openhab.addons.bundles:org.openhab.binding.avmfritz,"[,2.5.12),[3.0.0, 3.0.1)",Maven,"0,Feb,2021"
M,XML External Entity (XXE) Injection,org.openhab.addons.bundles: org.openhab.binding.bosesoundtouch,"[,2.5.12),[3.0.0, 3.0.1)",Maven,"0,Feb,2021"
M,Information Exposure,github.com/hashicorp/vault/vault,"&gt;&#x3D;1.6.0 &lt;1.6.2,&lt;1.5.7",Go,"0,Feb,2021"
M,Privilege Escalation,github.com/hashicorp/vault/vault,"&lt;0.12.10,&gt;&#x3D;1.0.0 &lt;1.0.3",Go,"0,Feb,2021"
M,Information Exposure,github.com/hashicorp/vault/vault,"&gt;&#x3D;1.6.0 &lt;1.6.2,&lt;1.5.7",Go,"0,Feb,2021"
H,Authentication Bypass,org.apache.shiro:shiro-web,"[, 1.7.1)",Maven,"0,Feb,2021"
M,Improper Authentication,github.com/hashicorp/vault/vault,&lt;1.6.2,Go,"0,Feb,2021"
M,Insecure Permissions,github.com/matryer/moq,&lt;0.1.6,Go,"0,Feb,2021"
C,Remote Code Execution (RCE),angular-expressions,&lt;1.1.2,npm,"0,Feb,2021"
C,Remote Code Execution (RCE),org.webjars.npm:angular-expressions,"[0,)",Maven,"0,Feb,2021"
M,Server-side Request Forgery (SSRF),github.com/minio/minio/cmd,*,Go,"0,Feb,2021"
H,Insecure Permissions,github.com/openshift/builder/pkg/build/builder,*,Go,"0,Feb,2021"
H,SQL Injection,thinkjs,*,npm,"0,Feb,2021"
H,Denial of Service (DoS),python-levenshtein,"[0,0.12.1)",pip,"0,Feb,2021"
M,Regular Expression Denial of Service (ReDoS),jinja2,"[,2.11.3)",pip,"0,Feb,2021"
M,Cross-site Scripting (XSS),vue-devtools,*,npm,"0,Feb,2021"
M,Improper Input Validation,python3-saml,"[,1.5.0)",pip,"0,Feb,2021"
M,Improper Input Validation,python-saml,"[,2.5.0)",pip,"0,Feb,2021"
L,Directory Traversal,django,"[1.4,2.2.18),[3.0a1,3.0.12),[3.1a1,3.1.6)",pip,"0,Feb,2021"
M,Insecure Defaults,django-ca,"[,1.17.0)",pip,"0,Feb,2021"
M,Cross-site Scripting (XSS),datasette-css-properties,"[,0.2)",pip,"0,Feb,2021"
C,Improper Validation,concrete-datastore,"[,1.22.0)",pip,"0,Feb,2021"
M,Cross-site Scripting (XSS),apache-superset,"[,0.36.0)",pip,"0,Feb,2021"
M,Insecure Defaults,apache-superset,"[,0.35.1)",pip,"0,Feb,2021"
M,Cross-site Scripting (XSS),apache-superset,"[,0.34.0)",pip,"0,Feb,2021"
M,Cross-site Scripting (XSS),apache-superset,"[,0.34.0)",pip,"0,Feb,2021"
C,Arbitrary Code Execution,apache-superset,"[,0.34.0)",pip,"0,Feb,2021"
,,,,,
M,Improper Input Validation,github.com/tendermint/tendermint/libs/os,&lt;0.35.0-rc1,Go,"0,May,2021"
M,Cross-site Scripting (XSS),frappe-charts,*,npm,"0,May,2021"
M,Cross-site Scripting (XSS),org.webjars.npm:frappe-charts,"[0,]",Maven,"0,May,2021"
M,Cross-site Scripting (XSS),localstack,"[0,]",pip,"0,May,2021"
C,Remote Code Execution (RCE),localstack,"[0,]",pip,"0,May,2021"
H,Cross-site Request Forgery (CSRF),dweeves/magmi,&gt;&#x3D;0.0.0,Composer,"0,May,2021"
M,Cryptographic Issues,org.apache.directory.server:apacheds-kerberos-codec,"[0,]",Maven,"0,May,2021"
H,Regular Expression Denial of Service (ReDoS),actionpack,"&gt;&#x3D;6.1.0, &lt;6.1.3.2,&gt;&#x3D;6.0.0, &lt;6.0.3.7",RubyGems,"0,May,2021"
M,Regular Expression Denial of Service (ReDoS),actionpack,"&gt;&#x3D;6.1.0, &lt;6.1.3.2",RubyGems,"0,May,2021"
H,Denial of Service (DoS),actionpack,"&gt;&#x3D;2.0.0, &lt;5.2.4.6,&gt;&#x3D;5.2.5, &lt;5.2.6,&gt;&#x3D;6.0.0, &lt;6.0.3.7,&gt;&#x3D;6.1.0, &lt;6.1.3.2",RubyGems,"0,May,2021"
H,Directory Traversal,impacket,"[,0.9.23)",pip,"0,May,2021"
M,Cross-site Scripting (XSS),highcharts,&lt;9.0.0,npm,"0,May,2021"
M,Cross-site Scripting (XSS),org.webjars:highcharts,"[,9.2.2)",Maven,"0,May,2021"
M,Cross-site Scripting (XSS),org.webjars.npm:highcharts,"[0,]",Maven,"0,May,2021"
M,Information Exposure,actionpack,"&gt;&#x3D;2.0.0, &lt;5.2.4.6,&gt;&#x3D;5.2.5, &lt;5.2.6,&gt;&#x3D;6.0.0, &lt;6.0.3.7,&gt;&#x3D;6.1.0, &lt;6.1.3.2",RubyGems,"0,May,2021"
M,Insecure Permissions,com.vaadin:flow-server,"[3.0.0,6.0.6),[2.0.9,2.5.3)",Maven,"0,May,2021"
H,Directory Traversal,rubysl-tmpdir,&gt;&#x3D;0.0.0,RubyGems,"0,May,2021"
H,Directory Traversal,tmpdir,&lt;0.1.2,RubyGems,"0,May,2021"
H,Arbitrary File Read,github.com/ystia/yorc/v4/helper/sshutil,"&gt;&#x3D;4.0.0-M1 &lt;4.0.0-M3,&lt;3.2.4",Go,"0,May,2021"
H,Arbitrary File Read,github.com/ystia/yorc/helper/sshutil,"&gt;&#x3D;4.0.0-M1 &lt;4.0.0-M3,&lt;3.2.4",Go,"0,May,2021"
H,Improper Input Validation,ipaddress,"[0,]",pip,"0,May,2021"
H,HTTP Header Injection,django,"[3.2,3.2.2),[3.0,3.1.10),[,2.2.22)",pip,"0,May,2021"
M,Improper Input Validation,helm.sh/helm/v3/pkg/repo,&lt;3.5.1,Go,"0,May,2021"
M,Improper Input Validation,helm.sh/helm/v3/pkg/plugin,&lt;3.5.1,Go,"0,May,2021"
M,Improper Input Validation,helm.sh/helm/v3/pkg/chart,&lt;3.5.1,Go,"0,May,2021"
M,Improper Input Validation,helm.sh/helm/v3/cmd/helm,&lt;3.5.1,Go,"0,May,2021"
M,Improper Input Validation,github.com/helm/helm/pkg/repo,&lt;3.5.1,Go,"0,May,2021"
M,Improper Input Validation,github.com/helm/helm/pkg/plugin,&lt;3.5.1,Go,"0,May,2021"
M,Improper Input Validation,github.com/helm/helm/pkg/chart,&lt;3.5.1,Go,"0,May,2021"
M,Improper Input Validation,github.com/helm/helm/cmd/helm,&lt;3.5.1,Go,"0,May,2021"
,,,,,
H,Information Exposure,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Out-of-Bounds,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,NULL Pointer Dereference,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Out-of-Bounds,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Out-of-Bounds,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Out-of-Bounds,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
H,Information Exposure,imagemagick,&gt;&#x3D;6.8.8-9,cocoapods,"0,Oct,2019"
M,Denial of Service (DoS),imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Resource Management Errors,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
H,Improper Input Validation,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Out-of-bounds Read,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Resource Management Errors,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Out-of-Bounds,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Out-of-bounds Read,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
H,Denial of Service (DoS),imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Out-of-bounds Read,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Out-of-Bounds,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
H,Out-of-Bounds,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
H,Out-of-Bounds,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Out-of-Bounds,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Improper Input Validation,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Improper Input Validation,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
H,Out-of-Bounds,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Numeric Errors,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Out-of-Bounds,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,Out-of-Bounds,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
H,Resource Management Errors,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
H,Out-of-Bounds,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
H,Out-of-Bounds,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
M,NULL Pointer Dereference,imagemagick,&gt;&#x3D;0.0.0,cocoapods,"0,Oct,2019"
,,,,,
L,Insecure Defaults,ansible-runner,"[,1.3.1)",pip,"0,Apr,2019"
H,Denial of Service (DoS),org.apache.tomcat:tomcat-coyote,"[8.5.0, 8.5.38),[9.0.0.M1, 9.0.16)",Maven,"0,Apr,2019"
H,Denial of Service (DoS),org.apache.tomcat:tomcat-catalina,"[8.5.0, 8.5.38),[9.0.0.M1, 9.0.16)",Maven,"0,Apr,2019"
H,Denial of Service (DoS),org.apache.tomcat.embed:tomcat-embed-core,"[8.5.0, 8.5.38),[9.0.0.M1, 9.0.16)",Maven,"0,Apr,2019"
C,Malicious Package,bootstrap-sass,"&gt;&#x3D;3.2.0.3, &lt;3.2.0.4",RubyGems,"0,Apr,2019"
M,Insecure Default Configuration,tesseract.js,&lt;1.0.19,npm,"0,Apr,2019"
H,Denial of Service (DoS),coapthon3,"[1.0,]",pip,"0,Apr,2019"
H,Man-in-the-Middle (MitM),com.github.shyiko:ktlint,"[,0.30.0)",Maven,"0,Apr,2019"
H,Symlink Attack,k8s.io/kubernetes/pkg/kubectl/cmd/cp,"&lt;1.11.9,&gt;&#x3D;1.12.0 &lt;1.12.7,&gt;&#x3D;1.13.0 &lt;1.13.5",Go,"0,Apr,2019"
H,Symlink Attack,github.com/kubernetes/kubernetes/pkg/kubectl/cmd/cp,"&lt;1.11.9,&gt;&#x3D;1.12.0 &lt;1.12.7,&gt;&#x3D;1.13.0 &lt;1.13.5",Go,"0,Apr,2019"
M,Information Exposure,microsoft.chakracore,"[,1.7.5)",NuGet,"0,Apr,2019"
H,Remote Code Execution (RCE),microsoft.chakracore,"[,1.11.6)",NuGet,"0,Apr,2019"
H,Remote Code Execution (RCE),microsoft.chakracore,"[,1.8.4)",NuGet,"0,Apr,2019"
M,Script Injections,magento/community-edition,"&gt;&#x3D;2.1, &lt;2.1.17,&gt;&#x3D;2.2, &lt;2.2.8,&gt;&#x3D;2.3, &lt;2.3.1",Composer,"0,Apr,2019"
M,Information Exposure,magento/community-edition,"&gt;&#x3D;2.1, &lt;2.1.17,&gt;&#x3D;2.2, &lt;2.2.8,&gt;&#x3D;2.3, &lt;2.3.1",Composer,"0,Apr,2019"
M,Information Disclousure,magento/core,&lt;1.9.4.1,Composer,"0,Apr,2019"
M,Information Disclousure,magento/community-edition,"&gt;&#x3D;2.1, &lt;2.1.17,&gt;&#x3D;2.2, &lt;2.2.8,&gt;&#x3D;2.3, &lt;2.3.1",Composer,"0,Apr,2019"
M,Information Exposure,magento/community-edition,"&gt;&#x3D;2.1, &lt;2.1.17,&gt;&#x3D;2.2, &lt;2.2.8,&gt;&#x3D;2.3, &lt;2.3.1",Composer,"0,Apr,2019"
M,Information Exposure,magento/community-edition,"&gt;&#x3D;2.1, &lt;2.1.17,&gt;&#x3D;2.2, &lt;2.2.8,&gt;&#x3D;2.3, &lt;2.3.1",Composer,"0,Apr,2019"
M,Cross-site Request Forgery (CSRF),magento/community-edition,"&gt;&#x3D;2.1, &lt;2.1.17,&gt;&#x3D;2.2, &lt;2.2.8,&gt;&#x3D;2.3, &lt;2.3.1",Composer,"0,Apr,2019"
M,Cross-site Scripting (XSS),magento/community-edition,"&gt;&#x3D;2.1, &lt;2.1.17,&gt;&#x3D;2.2, &lt;2.2.8,&gt;&#x3D;2.3, &lt;2.3.1",Composer,"0,Apr,2019"
M,Cross-site Scripting (XSS),magento/community-edition,"&gt;&#x3D;2.1, &lt;2.1.17,&gt;&#x3D;2.2, &lt;2.2.8,&gt;&#x3D;2.3, &lt;2.3.1",Composer,"0,Apr,2019"
M,Cross-site Scripting (XSS),magento/community-edition,"&gt;&#x3D;2.1, &lt;2.1.17,&gt;&#x3D;2.2, &lt;2.2.8,&gt;&#x3D;2.3, &lt;2.3.1",Composer,"0,Apr,2019"
M,Cross-site Scripting (XSS),magento/community-edition,"&gt;&#x3D;2.1, &lt;2.1.17,&gt;&#x3D;2.2, &lt;2.2.8,&gt;&#x3D;2.3, &lt;2.3.1",Composer,"0,Apr,2019"
M,Remote Code Execution (RCE),microsoft.chakracore,"[,1.10.1)",NuGet,"0,Apr,2019"
M,SQL Injection,github.com/concourse/concourse/atc/db,&lt;5.0.1,Go,"0,Apr,2019"
H,Remote Code Execution (RCE),microsoft.chakracore,"[,1.7.6)",NuGet,"0,Apr,2019"
H,Remote Code Execution (RCE),microsoft.chakracore,"[,1.11.2)",NuGet,"0,Apr,2019"
M,Cross-site Scripting (XSS),magento/community-edition,"&gt;&#x3D;2.1, &lt;2.1.17,&gt;&#x3D;2.2, &lt;2.2.8,&gt;&#x3D;2.3, &lt;2.3.1",Composer,"0,Apr,2019"
M,Cross-site Scripting (XSS),magento/community-edition,"&gt;&#x3D;2.1, &lt;2.1.17,&gt;&#x3D;2.2, &lt;2.2.8,&gt;&#x3D;2.3, &lt;2.3.1",Composer,"0,Apr,2019"
,,,,,
M,Authentication Bypass,web-console,&lt;2.1.3,RubyGems,"1,Jun,2015"
H,Cross-site request forgery (CSRF),spina,&lt;0.6.29,RubyGems,"1,Jun,2015"
M,Cross-site Request Forgery (CSRF),jquery-rails,"&gt;&#x3D;0.1.1, &lt;3.1.3,&gt;&#x3D;3.2.0, &lt;4.0.4",RubyGems,"1,Jun,2015"
M,Cross-site Scripting (XSS),activesupport,"&lt; 4.2.2, &gt;&#x3D; 4.2,&lt; 4.1.11, &gt;&#x3D; 4.1.0",RubyGems,"1,Jun,2015"
M,Denial of Service (DoS),activesupport,"&lt; 4.2.2, &gt;&#x3D; 4.2,&lt; 4.1.11, &gt;&#x3D; 3.3,&lt; 3.2.22",RubyGems,"1,Jun,2015"
M,Cross-site Scripting (XSS),cmsplugin-filer,"[,0.10.2)",pip,"1,Jun,2015"
L,Information Exposure,fabric,"[0.9.0,1.13.1]",pip,"1,Jun,2015"
M,Directory Traversal,k8s.io/kubernetes,&lt;1.1.1,Go,"1,Jun,2015"
M,Cross-site Scripting (XSS),tomcat:catalina,"[5.5,5.5.32)",Maven,"1,Jun,2015"
M,Cross-site Scripting (XSS),org.apache.tomcat:tomcat-catalina,"[7.0.0,7.0.6)",Maven,"1,Jun,2015"
M,Cross-site Scripting (XSS),org.apache.tomcat:catalina,"[6,6.0.29]",Maven,"1,Jun,2015"
M,Cross-site Scripting (XSS),org.apache.tomcat.embed:tomcat-embed-core,"[7.0.0,7.0.6)",Maven,"1,Jun,2015"
M,Denial of Service (DoS),org.apache.tomcat:tomcat-coyote,"[7.0.0,7.0.6]",Maven,"1,Jun,2015"
M,Denial of Service (DoS),org.apache.tomcat:coyote,"[6,6.0.30]",Maven,"1,Jun,2015"
M,Access Restriction Bypass,org.apache.tomcat:tomcat-catalina,"[7,7.0.10)",Maven,"1,Jun,2015"
M,Access Restriction Bypass,org.apache.tomcat.embed:tomcat-embed-core,"[7.0.0,7.0.10)",Maven,"1,Jun,2015"
M,Access Restriction Bypass,org.apache.tomcat:tomcat-catalina,"[7.0.12, 7.0.14)",Maven,"1,Jun,2015"
M,Access Restriction Bypass,org.apache.tomcat.embed:tomcat-embed-core,"[7.0.11,7.0.12)",Maven,"1,Jun,2015"
M,Access Restriction Bypass,tomcat:catalina,"[5.5,5.5.34)",Maven,"1,Jun,2015"
M,Access Restriction Bypass,org.apache.tomcat:tomcat-catalina,"[7.0.0,7.0.12)",Maven,"1,Jun,2015"
M,Access Restriction Bypass,org.apache.tomcat:catalina,"[6.0.0, 6.0.33)",Maven,"1,Jun,2015"
M,Access Restriction Bypass,org.apache.tomcat.embed:tomcat-embed-core,"[7.0.0,7.0.12)",Maven,"1,Jun,2015"
M,Access Restriction Bypass,org.apache.tomcat:tomcat-catalina,"[7.0.12,7.0.14)",Maven,"1,Jun,2015"
M,Access Restriction Bypass,org.apache.tomcat.embed:tomcat-embed-core,"[7.0.12,7.0.14)",Maven,"1,Jun,2015"
M,Arbitrary File Access,org.apache.tomcat:tomcat-catalina,"[7,7.0.17)",Maven,"1,Jun,2015"
M,Arbitrary File Access,org.apache.tomcat.embed:tomcat-embed-core,"[7.0.0,7.0.17)",Maven,"1,Jun,2015"
H,Access Restriction Bypass,tomcat:tomcat-coyote,"[5.5.4,)",Maven,"1,Jun,2015"
H,Access Restriction Bypass,org.apache.tomcat:tomcat-coyote,"[7.0.0,7.0.20]",Maven,"1,Jun,2015"
H,Access Restriction Bypass,org.apache.tomcat:coyote,"[6,6.0.33]",Maven,"1,Jun,2015"
M,Information Exposure,org.apache.tomcat:tomcat-coyote,"[7.0.0,7.0.22)",Maven,"1,Jun,2015"
,,,,,
H,Cross-site Scripting (XSS),mxgraph,&lt;4.0.0,npm,"0,Jul,2019"
H,Cross-site Scripting (XSS),org.webjars.npm:mxgraph,"[,4.1.0)",Maven,"0,Jul,2019"
H,Cross-site Scripting (XSS),org.webjars.bowergithub.jgraph:mxgraph,"(,4.0.0)",Maven,"0,Jul,2019"
H,Cross-site Scripting (XSS),org.webjars.bower:mxgraph,"[0,]",Maven,"0,Jul,2019"
H,Cross-site Scripting (XSS),xorti/mxgraph-editor,&gt;&#x3D;0.0.0,Composer,"0,Jul,2019"
L,Insufficiently Protected Credentials,org.jenkins-ci.plugins:open-stf,"[0,]",Maven,"0,Jul,2019"
M,Access Control Bypass,org.jvnet.hudson.plugins:analysis-core,"[,1.96)",Maven,"0,Jul,2019"
H,Man-in-the-Middle (MitM),django,"[1.11.0,1.11.22),[2.1.0,2.1.10),[2.2.0,2.2.3)",pip,"0,Jul,2019"
M,Access Control Bypass,org.jenkins-ci.plugins:gearman-plugin,"[0,]",Maven,"0,Jul,2019"
M,Cross-site Scripting (XSS),takeapeek,*,npm,"0,Jul,2019"
M,Open Redirect,apostrophe,&lt;2.92.0,npm,"2,Jun,2019"
H,Denial of Service (DoS),org.apache.tomcat:tomcat-coyote,"[8.5.0, 8.5.40),[9.0.0.M1, 9.0.20)",Maven,"2,Jun,2019"
H,Denial of Service (DoS),org.apache.tomcat.embed:tomcat-embed-core,"[8.5.0, 8.5.40),[9.0.0.M1, 9.0.20)",Maven,"2,Jun,2019"
M,N1QL injection,github.com/couchbase/sync_gateway/db,&lt;2.5,Go,"2,Jun,2019"
H,Arbitrary Code Execution,require-node,"&gt;&#x3D;1.0.0 &lt;1.3.4,&gt;2.0.0 &lt;2.0.4",npm,"2,Jun,2019"
L,Information Exposure,moodle/moodle,"&gt;&#x3D;3.6, &lt;3.6.4",Composer,"2,Jun,2019"
M,Open Redirect,moodle/moodle,"&lt;3.1.18,&gt;&#x3D;3.4, &lt;3.4.9,&gt;&#x3D;3.5, &lt;3.5.6,&gt;&#x3D;3.6, &lt;3.6.4",Composer,"2,Jun,2019"
H,Prototype Pollution,deeply,&lt;3.1.0,npm,"2,Jun,2019"
L,Information Exposure,org.jenkins-ci.plugins:bitbucket-approve,"[0,]",Maven,"2,Jun,2019"
M,Cross-site Request Forgery (CSRF),org.jenkins-ci.plugins:labmanager,"[0,]",Maven,"2,Jun,2019"
M,Access Restriction Bypass,org.jenkins-ci.plugins:rabbitmq-publisher,"[,1.2.0)",Maven,"2,Jun,2019"
H,Sandbox Bypass,org.jenkins-ci.plugins:script-security,"[,1.56)",Maven,"2,Jun,2019"
M,Cross-site Request Forgery (CSRF),org.jenkins-ci.plugins:ansible-tower,"[,0.9.2)",Maven,"2,Jun,2019"
M,Cross-site Request Forgery (CSRF),org.jenkins-ci.plugins:openshift-deployer,"[0,]",Maven,"2,Jun,2019"
M,Server-side Request Forgery (SSRF),com.acunetix:acunetix,"[,1.1.0)",Maven,"2,Jun,2019"
